"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"N8YGQF9J","presentation","2019","Dennis, Tim","Intro to R","","","","","https://planning-code-camp.github.io/2019-ucla-pcc/","This class provides an introduction to R in a Carpentries pedagogical style with a focus on active learning and hands-on experience.  We will focus on teaching R with a data analytic focus using the Tidyverse, a set of interconnected R tools intended to make R easier to use for data analysis. This is an introduction to R designed for participants with no programming experience. We start with some basic information about R syntax, the RStudio interface, and move through how to import CSV files, the structure of data frames, how to calculate summary statistics from a data frame, and a brief introduction to plotting.","2019-02-04","2019-11-11 19:59:29","2019-12-01 02:54:03","","","","","","","","","","","","","","UCLA","en","","Workshop","","","","","","","","","instr-lib-spnsr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UCLA Planning Code Camp","","","","","","","","","","","","","","","",""
"VY8UCQ5F","presentation","2019","Dennis, Tim; Phan, Leigh; Allen, Kristian","Data Intro & Data skills","","","","","https://planning-code-camp.github.io/2019-ucla-pcc/","Join us for the first Planning Code Camp, a 5-week bootcamp and learn software tools for analyzing large data in planning including R, Dataviz, tidyverse, bash, dyplr, Git, and Github. Workshop runs from January - February (Week 3 - Week 8). We will serve dinner each session and have planning professionals give lightning talks at the start and end of the bootcamp. We will end with a hackathon that allows students to apply their newly learned skills to address a local civic issue. Although we encourage registrants to attend every session, you are welcome to attend individual workshop sessions if you already have knowledge of particular skills. When registering, please indicate if you are planning on skipping any sessions, so we have accurate counts for each session. Participants will be encouraged to help one another and to apply what they have learned to their own research problems.","2019-01-28","2019-11-11 19:59:29","2019-12-01 02:54:10","2019-11-11","","","","","","","","","","","","","UCLA","en","","Workshop","","","","","","","","","instr-lib-spnsr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UCLA Planning Code Camp","","","","","","","","","","","","","","","",""
"IEZYYUQ8","presentation","2019","Dennis, Tim; Allen, Kristian; Friedman, Scott; Whitmore, Deidre","Software Carpentry Workshop - Python","","","","","","Software Carpentry aims to help researchers get their work done in less time and with less pain by teaching them basic research computing skills. This hands-on workshop will cover basic concepts and tools, including program design, version control, data management, and task automation. Participants will be encouraged to help one another and to apply what they have learned to their own research problems.","2019-01-09","2019-11-11 19:59:29","2019-12-01 02:53:39","2019-10-11","","","","","","","","","","","","","UCLA Library","","","Workshop","","","","","","","","","instr-lib-spnsr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7BNFPUT8","journalArticle","2019","Dennis, Tim; Erdmann, Christopher; Simons, Natasha; Otsuji, Reid; Labou, Stephanie; Johnson, Ryan; Castelao, Guilherme; Boas, Bia Villas; Lamprecht, Anna-Lena; Ortiz, Carlos Martinez; Garcia, Leyla; Kuzak, Mateusz; Martinez, Paula Andrea; Stokes, Liz; Honeyman, Tom; Wise, Sharyn; Quan, Josh; Peterson, Scott; Neeser, Amy; Karvovskaya, Lena; Lange, Otto; Witkowska, Iza; Flores, Jacques; Bradley, Fiona; Hettne, Kristina; Verhaar, Peter; Companjen, Ben; Sesink, Laurents; Schoots, Fieke; Schultes, Erik; Kaliyaperumal, Rajaram; Tóth-Czifra, Erzsébet; Azevedo, Ricardo De Miranda; Muurling, Sanne; Brown, John; Chan, Janice; Quigley, Niamh; Federer, Lisa; Joubert, Douglas; Dillman, Allissa; Wilkins, Kenneth; Chandramouliswaran, Ishwar; Navale, Vivek; Wright, Susan; Giorgio, Silvia Di; Fasemore, Mandela; Förstner, Konrad; Sauerwein, Till; Seidlmayer, Eva; Zeitlin, Ilja; Bacon, Susannah; Hannan, Katie; Ferrers, Richard; Russell, Keith; Whitmore, Deidre; Dennis, Tim","Top 10 FAIR Data and Software Things","Zenodo","","","10.5281/zenodo.2555498","http://doi.org/10.5281/zenodo.2555498","","2019","2019-11-11 19:59:29","2019-12-01 02:52:10","","","","","","","","","","","","","","","","","","","","","","Citation Key: Tim_Dennis54222986","","","","published-writings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RR88J2QE","journalArticle","2019","Dennis, Tim; Erdmann, Christopher; Leinweber, Katrin; Weaver, Belinda; Baker, James; McGregor, Nora; Duckles, Dan Michael O. Heggøand Jonah; Mendes, Alex; Brooks-Kieffer, Jamene; Dennis, Tim; Oliver, Jeffrey; McMillin, Bill; DSTraining; Williamson, Evan; Wick, Ryan; Atwood, Thea; 222064h; Mendes, Alexander; Ajtag; Marwaha, Kunal; Laster, Shari; Yuri; Munk, Madicken; Koziar, Katherine; Silva, Raniere; McCue, Rich; Hejazi, Nima; Waldman, Simon; Emonet, Rémi; Harris, Rayna; Olex, Amy; Becker, Erin Alison; Lever, Jake; Burle, Marie-Helene; Moore, Brian; Hoshijima, Umihiko; Maji, Amiya; Topçuoğlu, Begüm D.; Junghans, Christoph; Nederbragt, Lex; Zimmerman, Alexander Gary; Rockenberger, Annika; Youngflesh, Casey; Bachant, Garrett; , Hdinkel; McClure, James E; Tocknell, James; Vidali, Janoš; O'Donnell, James; Atzberger, Joe; Jonestoddcm; Glaesemann, Kurt; Lonsdale, Andrew; Sane, Maneesha; Zingale, Michael; Soranzo, Nicola; , Pllim; Hiltemann, Saskia; Abracarambar; Bolker, Benjamin; Sacks, William; Butterflyskip; , Cmjt; Jennings, David; Sayer, Grant; Lee, Ian; Tocknell, James; Teitelbaum, Jeremy; Krishnan, Jeyashree; Rodrigues, João; Cooper, Jonathan; Karssen, L.C.; Ko, Lauren; Woodbridge, Mark; Sorbaro, Martino; Critchlow, Matt; Ceschia, Matteo; Bourque, Matthew; Hartley, Matthew; Belkin, Maxim; Potterbusch, Megan; Torpey, Michael; Zhang, Mingsheng; Arbeláez, Oscar; Williamson, Peace Ossom; Gassmoeller, Rene; Barnes, Richard; Steltenpool, Ruud; Lelièvre, Samuel; Stevens, Sarah; Schlauch, Tobias; Bailey, Scott; Halsey, Samniqueka; Siegert, Stefan; Morrell, Thomas; Keswick, Tommy; Teal, Tracy; Keller, Trevor; TrevorLeeCline; Kelly, Tyler Crawford; Reddy, Tyler; Ikeshoji-Orlati, Veronica; Harrell, Wes; Usher, Will; Åkerström, Wolmar Nyberg","LibraryCarpentry/lc-git: Library Carpentry: Introduction to Git for librarians, June 2019","Zenodo","","","10.5281/zenodo.3265772","http://doi.org/10.5281/zenodo.3265772","","2019","2019-11-11 19:59:29","2019-12-01 02:52:15","","","","","","","","","","","","","","","","","","","","","","Citation Key: Tim_Dennis59055390","","","","published-writings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GZCMBK25","journalArticle","2019","Dennis, Tim; Erdmann, Christopher; Baker, James; Rios, Fernando; Chan, Janice; Dennis, Tim; Weaver, Belinda; Sichani, Anna-Maria; Brooks-Kieffer, Jamene; Steltenpool, Ruud; 222064h; Wong, Dan Michael Heggøand Elaine; Lanzani, Emanuele; Thegsi; Otsuji, Reid; Kane, David; Oliver, Jeffrey; Leinweber, Katrin; Marwaha, Kunal; Mdschleu; Orobecca","LibraryCarpentry/lc-sql: Library Carpentry: Introduction to SQL, June 2019","Zenodo","","","10.5281/zenodo.3266102","http://doi.org/10.5281/zenodo.3266102","","2019","2019-11-11 19:59:29","2019-12-01 02:52:19","","","","","","","","","","","","","","","","","","","","","","Citation Key: Tim_Dennis59071773","","","","published-writings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEB3BIBJ","journalArticle","2019","Dennis, Tim; Dennis, Tim","From a Data Archive to Data Science: Supporting Current Research","Zenodo","","","10.5281/zenodo.3333729","http://doi.org/10.5281/zenodo.3333729","","2019","2019-11-11 19:59:29","2019-12-01 02:52:23","","","","","","","","","","","","","","","","","","","","","","Citation Key: Tim_Dennis59430160","","","","published-writings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VNES68LQ","journalArticle","2019","Dennis, Tim; Baker, James; Erdmann, Christopher; Dennis, Tim; Leinweber, Dan Michael Heggøand Katrin; Hugolio; Capes, Gerard; Jenniferleeucalgary; Oliver, Jeffrey; Duckles, Jonah; BertrandCaron; Mendes, Alex; Conrado, Ana Costa; Weaver, Belinda; Williamson, Evan; Lessing, Ian; Marwaha, Kunal; Lascarides, Michael; Hayslett, Michele; Lilleberg, Travis; Devenyi, Gabriel; Srinath, Ashwin; Colinmorris; Silva, Raniere; Csqrs; Becker, Erin Alison; Emonet, Rémi; Sauze, Colin; Jankowski, Eric; Guillou, Stéphane; Szamosi, Jake Cowper; Srinath, Ashwin; Bryk, Jaros; Burle, Marie-Helene; Lim, Marisa; Leak, Stephen; Mentzel, Christopher; Buckley, Kevin M.; Laurence; Robinson, Martha; Feller, Martin; Fritz, Megan; Soranzo, Nicola; Ullah, Rafi; Steltenpool, Ruud; Mey, Yee; Kassil, Alex; Morley, Alexander; Denisenko, Elena; Burns, Halle; Burkhardt, Hannah; Williams, Jonny; Macklin, Jason; Shaikh, Reshama; Mellan, Thomas; Huffman, Adam; Konovalov, Alexander; Reid, Andrew; McRae, Andrew T. T.; Rokem, Ariel; Atmaja, Bagus Tris; Bolker, Benjamin; Gabriel, Benjamin; Ballsun-Stanton, Brian; Bridges, Dave; McKain, David; Lituiev, Dmytro; Earkpr; Ekaterinailin; Shamma, Farah; Profiti, Giuseppe; Linde, Ian Van Der; Rantaharju, Jarno; Guelfi, James; Pellman, John; Gouw, Marc; Zingale, Michael; Henry, Mike; Oneka, Morgan; Hoggett, Murray; Barral, Nicolas; Brenowitz, Noah D; Kaluza, Owen; McCann, Patrick; Hoyt, Peter; Sjnair; Schmeing, Stephan; Jones, Stephen; Miller, Susan J; Dowrick, Tom; Koppejan, Victor; Chhatre, Vikram","LibraryCarpentry/lc-shell: Library Carpentry: Introduction to the Shell for librarians, June 2019","Zenodo","","","10.5281/zenodo.3266085","http://doi.org/10.5281/zenodo.3266085","","2019","2019-11-11 19:59:29","2019-12-01 02:52:31","","","","","","","","","","","","","","","","","","","","","","Citation Key: Tim_Dennis59071747","","","","published-writings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DAKMIS5Y","journalArticle","2019","Dennis, Tim; Baker, James; Erdmann, Christopher; Dennis, Tim; Mhidas; Bangert, Daniel; Williamson, Evan; Jamison, Jamie; Zimmerman, Naupaka; Emonet, Rémi; Rozum, Betty; Dnesdill; Koziar, Katherine; Honeyman, Tom; Teal, Tracy; Mendes, Alexander; Andreamcastillo; Neatrour, Anna; Delpeuch, Antonin; Koch, Christina; McAulay, Elizabeth Lisa; Hauschke; Brooks-Kieffer, Jamene; Oliver, Jeffrey; Pival, Paul R.","LibraryCarpentry/lc-open-refine: Library Carpentry: Introduction to OpenRefine for Librarians, June 2019","Zenodo","","","10.5281/zenodo.3266144","http://doi.org/10.5281/zenodo.3266144","","2019","2019-11-11 19:59:29","2019-12-01 02:52:39","","","","","","","","","","","","","","","","","","","","","","Citation Key: Tim_Dennis59069877","","","","published-writings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7S2LI672","journalArticle","2019","Dennis, Tim; Baker, James; Erdmann, Christopher; Dennis, Tim; McAulay, Elizabeth Lisa; Laster, Shari; Michonneau, François; Marwaha, Kunal; Pival, Paul R.; Leinweber, Katrin; Volkov, Alex; Fdsayre, Dan Michael O. Heggøand; Lsult; Scheltjens, Saskia; Yvonnemery; Mendes, Alexander; Taggart, Angus; Weaver, Belinda; BertrandCaron; Peterson, Bianca; Edsall, Christopher; McAndrew, Chuck; Hemme, Dan Michael Heggøand Felix; Chan, Janice; Oliver, Jeffrey; Guillette, Jeremy; Schneider, Jodi; Duckles, Jonah; Koziar, Katherine; PH03N1X007; Remerjohnson","LibraryCarpentry/lc-data-intro: Library Carpentry: Introduction to data, June 2019","Zenodo","","","10.5281/zenodo.3264946","http://doi.org/10.5281/zenodo.3264946","","2019","2019-11-11 19:59:29","2019-12-01 02:52:46","","","","","","","","","","","","","","","","","","","","","","Citation Key: Tim_Dennis59014215","","","","published-writings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
